tweet_id,favorite_count,retweet_count,total_engagements,timestamp,name,rating,date,nicktype,dog_type
892177421306343426,33819,6514,40333,2017-08-01 00:17:27,Tilly,1.3,2017-08,,Chihuahua
891815181378084864,25461,4328,29789,2017-07-31 00:18:03,Archie,1.2,2017-07,,Chihuahua
891689557279858688,42908,8964,51872,2017-07-30 15:58:51,Darla,1.3,2017-07,,Labrador_retriever
891327558926688256,41048,9774,50822,2017-07-29 16:00:24,Franklin,1.2,2017-07,,basset
891087950875897856,20562,3261,23823,2017-07-29 00:08:17,,1.3,2017-07,,Chesapeake_Bay_retriever
890971913173991426,12041,2158,14199,2017-07-28 16:27:12,Jax,1.3,2017-07,,Appenzeller
890729181411237888,56848,16716,73564,2017-07-28 00:22:40,,1.3,2017-07,,Pomeranian
890609185150312448,28226,4429,32655,2017-07-27 16:25:51,Zoey,1.3,2017-07,,Irish_terrier
890240255349198849,32467,7711,40178,2017-07-26 15:59:51,Cassie,1.4,2017-07,doggo,Pembroke
890006608113172480,31166,7624,38790,2017-07-26 00:31:25,Koda,1.3,2017-07,,Samoyed
889880896479866881,28268,5156,33424,2017-07-25 16:11:53,Bruno,1.3,2017-07,,French_bulldog
889665388333682689,38818,8538,47356,2017-07-25 01:55:32,,1.3,2017-07,puppo,Pembroke
889638837579907072,27672,4735,32407,2017-07-25 00:10:02,Ted,1.2,2017-07,,French_bulldog
889531135344209921,15359,2321,17680,2017-07-24 17:02:04,Stuart,1.3,2017-07,puppo,golden_retriever
889278841981685760,25652,5637,31289,2017-07-24 00:19:32,Oliver,1.3,2017-07,,whippet
888917238123831296,29611,4709,34320,2017-07-23 00:22:39,Jim,1.2,2017-07,,golden_retriever
888804989199671297,26080,4559,30639,2017-07-22 16:56:37,Zeke,1.3,2017-07,,golden_retriever
888554962724278272,20290,3732,24022,2017-07-22 00:23:06,Ralphus,1.3,2017-07,,Siberian_husky
888078434458587136,22201,3653,25854,2017-07-20 16:49:33,Gerald,1.2,2017-07,,French_bulldog
887705289381826560,30779,5609,36388,2017-07-19 16:06:48,Jeffrey,1.3,2017-07,,basset
887473957103951883,69871,18781,88652,2017-07-19 00:47:34,Canela,1.3,2017-07,,Pembroke
887343217045368832,34222,10737,44959,2017-07-18 16:08:03,,1.3,2017-07,,Mexican_hairless
887101392804085760,31061,6167,37228,2017-07-18 00:07:08,,1.2,2017-07,,Samoyed
886983233522544640,35859,8084,43943,2017-07-17 16:17:36,Maya,1.3,2017-07,,Chihuahua
886736880519319552,12306,3443,15749,2017-07-16 23:58:41,Mingus,1.3,2017-07,,kuvasz
886366144734445568,21524,3316,24840,2017-07-15 23:25:31,Roscoe,1.2,2017-07,pupper,French_bulldog
886258384151887873,28469,6523,34992,2017-07-15 16:17:19,Waffles,1.3,2017-07,,pug
885984800019947520,33382,7097,40479,2017-07-14 22:10:11,Jimbo,1.2,2017-07,,Blenheim_spaniel
885528943205470208,36689,6683,43372,2017-07-13 15:58:47,Maisey,1.3,2017-07,,pug
885167619883638784,22367,4556,26923,2017-07-12 16:03:00,,1.3,2017-07,,malamute
884925521741709313,68152,16439,84591,2017-07-12 00:01:00,Earl,1.2,2017-07,,Italian_greyhound
884876753390489601,28514,6096,34610,2017-07-11 20:47:12,Lola,1.3,2017-07,,chow
884562892145688576,24765,5100,29865,2017-07-11 00:00:02,Kevin,1.3,2017-07,,pug
884441805382717440,27478,5856,33334,2017-07-10 15:58:53,,1.4,2017-07,,Pembroke
